fid,mslink,miejscowosc,kod,poczta,przedr,przedrostek,ulica,ulica_pelna,nr_adr,nr_adr2,dzialka_id,budynek_id,kat,just,teryt_numer,field_2
3135,119248,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,8,,,,202,uc,00432--8,6
3136,119249,Słupsk,76-200,Słupsk,ul.,ulica,Ojca Pio,Świętego Ojca Pio,3,,,,338,uc,38321--3,3
3137,119251,Słupsk,76-200,Słupsk,ul.,ulica,Szkolna,Szkolna,3,,,,150,uc,21970--3,15
3138,119253,Słupsk,76-200,Słupsk,ul.,ulica,Garncarska,Garncarska,2,,,,173,uc,05345--2,94
3139,119254,Słupsk,76-200,Słupsk,ul.,ulica,Szkolna,Szkolna,4,,,,97,uc,21970--4,28
3140,119255,Słupsk,76-200,Słupsk,ul.,ulica,Szkolna,Szkolna,5,,,,170,uc,21970--5,23
3141,119256,Słupsk,76-200,Słupsk,ul.,ulica,Szkolna,Szkolna,6,,,,290,uc,21970--6,29
3142,119257,Słupsk,76-200,Słupsk,ul.,ulica,Pobożnego,Henryka Pobożnego,7,,,,81,uc,06602--7,24
3143,119258,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,12,,,,195,uc,00432--12,4
3144,119260,Słupsk,76-200,Słupsk,ul.,ulica,Pobożnego,Henryka Pobożnego,3,,,,83,uc,06602--3,3
3145,119261,Słupsk,76-200,Słupsk,ul.,ulica,Pobożnego,Henryka Pobożnego,5,,,,82,uc,06602--5,24
3146,119262,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,13,,,,201,uc,00432--13,18
3147,119263,Słupsk,76-200,Słupsk,ul.,ulica,Pobożnego,Henryka Pobożnego,4,,,,80,uc,06602--4,17
3148,119265,Słupsk,76-200,Słupsk,ul.,ulica,Garncarska,Garncarska,3,,,,171,uc,05345--3,81
3149,119267,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,14,,,,194,uc,00432--14,20
3150,119268,Słupsk,76-200,Słupsk,ul.,ulica,Pobożnego,Henryka Pobożnego,9,,,,257,uc,06602--9,25
3151,119269,Słupsk,76-200,Słupsk,ul.,ulica,Pobożnego,Henryka Pobożnego,10,,,,262,uc,06602--10,17
3152,119271,Słupsk,76-200,Słupsk,ul.,ulica,Pobożnego,Henryka Pobożnego,11,,,,260,uc,06602--11,33
3153,119272,Słupsk,76-200,Słupsk,ul.,ulica,Garncarska,Garncarska,24,,,,3,uc,05345--24,16
3154,119274,Słupsk,76-200,Słupsk,ul.,ulica,Pobożnego,Henryka Pobożnego,14,,,,260,uc,06602--14,15
3155,119275,Słupsk,76-200,Słupsk,ul.,ulica,Pobożnego,Henryka Pobożnego,15,,,,259,uc,06602--15,20
3156,119276,Słupsk,76-200,Słupsk,ul.,ulica,Psie Pole,Psie Pole,12,,,,353,uc,18024--12,19
